,SPEND,CLICKS,IMPRESSIONS,SEARCH_IMPRESSION_SHARE,CPC,ELIGIBLE_IMPRESSIONS,lag_SPEND,lag_CLICKS,lag_IMPRESSIONS,lag_ELIGIBLE_IMPRESSIONS,rolling_7_SPEND,rolling_14_SPEND,rolling_7_CLICKS,rolling_14_CLICKS,rolling_7_IMPRESSIONS,rolling_14_IMPRESSIONS,rolling_7_ELIGIBLE_IMPRESSIONS,rolling_14_ELIGIBLE_IMPRESSIONS
2022-06-12,9366.93,1017.0,4774.0,1.7,9.210353982300886,2808.2352941176478,9388.9,1065.0,4701.0,2884.0490797546013,9630.425714285713,9207.055714285714,1262.142857142857,1045.4285714285713,6968.857142857143,6515.142857142857,4235.420184949516,3944.0652107114324
2022-06-13,10910.71,1428.0,8131.0,1.73,7.640553221288515,4700.0,9366.93,1017.0,4774.0,2808.2352941176478,10450.284285714284,9237.646428571428,1387.857142857143,1105.2142857142858,7642.571428571428,6811.642857142857,4641.709004825292,4120.068420984305
2022-06-14,11216.93,1438.0,8334.0,1.72,7.8003685674547985,4845.348837209303,10910.71,1428.0,8131.0,4700.0,10490.42,9140.969285714285,1363.2857142857142,1129.2142857142858,7384.142857142857,6879.642857142857,4444.944640640469,4112.2817367773
2022-06-15,10757.07,1409.0,8060.0,1.72,7.634542228530873,4686.046511627907,11216.93,1438.0,8334.0,4845.348837209303,10432.971428571427,9246.256428571429,1329.4285714285713,1159.9285714285713,7218.571428571428,6921.857142857143,4259.185051392507,4123.666011417388
2022-06-16,10670.71,1473.0,7797.0,1.66,7.244202308214529,4696.987951807229,10757.07,1409.0,8060.0,4686.046511627907,10372.95857142857,9361.947142857143,1320.0,1186.9285714285713,7085.714285714285,6891.857142857143,4165.327940213348,4123.777395730149
2022-06-17,9582.73,1245.0,7025.0,1.71,7.6969718875502,4108.187134502924,10670.71,1473.0,7797.0,4696.987951807229,10270.56857142857,9417.686428571427,1296.4285714285713,1206.142857142857,6974.571428571428,6888.071428571428,4104.1221155742305,4116.28395975927
2022-06-18,6319.13,726.0,3590.0,1.74,8.704035812672176,2063.2183908045977,9582.73,1245.0,7025.0,4108.187134502924,9832.029999999999,9483.549285714285,1248.0,1220.857142857143,6815.857142857143,6886.0,3986.860588581373,4113.36600428518
2022-06-19,6473.5,648.0,3365.0,1.62,9.989969135802468,2077.1604938271603,6319.13,726.0,3590.0,2063.2183908045977,9418.682857142858,9524.554285714285,1195.2857142857142,1228.7142857142858,6614.571428571428,6791.714285714285,3882.421331397017,4058.920758173266
2022-06-20,11385.93,1186.0,6428.0,1.69,9.600278246205734,3803.550295857988,6473.5,648.0,3365.0,2077.1604938271603,9486.57142857143,9968.427857142857,1160.7142857142858,1274.2857142857142,6371.285714285715,7006.928571428572,3754.357087948159,4198.033046386726
2022-06-21,11282.740000000002,1287.0,7826.0,1.64,8.766697746697748,4771.951219512195,11385.93,1186.0,6428.0,3803.550295857988,9495.972857142857,9993.19642857143,1139.142857142857,1251.2142857142858,6298.714285714285,6841.428571428572,3743.871713991429,4094.4081773159487
2022-06-22,10861.17,1304.0,7553.0,1.62,8.32911809815951,4662.3456790123455,11282.740000000002,1287.0,7826.0,4771.951219512195,9510.844285714285,9971.907857142856,1124.142857142857,1226.7857142857142,6226.285714285715,6722.428571428572,3740.485880760634,3999.8354660765713
2022-06-23,10707.94,1369.0,7717.0,1.61,7.82172388604821,4793.1677018633545,10861.17,1304.0,7553.0,4662.3456790123455,9516.162857142857,9944.560714285715,1109.2857142857142,1214.642857142857,6214.857142857143,6650.285714285715,3754.225845054367,3959.776892633857
2022-06-24,9186.37,1140.0,6299.0,1.58,8.058219298245612,3986.708860759493,10707.94,1369.0,7717.0,4793.1677018633545,9459.539999999999,9865.054285714286,1094.2857142857142,1195.357142857143,6111.142857142857,6542.857142857143,3736.871805948162,3920.496960761196
2022-06-25,6058.9,706.0,3314.0,1.48,8.58201133144476,2239.189189189189,9186.37,1140.0,6299.0,3986.708860759493,9422.364285714286,9627.197142857143,1091.4285714285713,1169.7142857142858,6071.714285714285,6443.785714285715,3762.0104914316753,3874.435540006524
2022-06-26,7976.84,713.0,3399.0,1.59,11.187713884992988,2137.735849056604,6058.9,706.0,3314.0,2239.189189189189,9637.127142857144,9527.904999999999,1100.7142857142858,1148.0,6076.571428571428,6345.571428571428,3770.66411360731,3826.5427225021635
2022-06-27,12457.3,1176.0,6924.0,1.47,10.59294217687075,4710.2040816326535,7976.84,713.0,3399.0,2137.735849056604,9790.180000000002,9638.375714285716,1099.2857142857142,1130.0,6147.428571428572,6259.357142857143,3900.1860830036903,3827.271585475925
2022-06-28,12149.55,1249.0,7793.0,1.47,9.72742193755004,5301.360544217687,12457.3,1176.0,6924.0,4710.2040816326535,9914.01,9704.99142857143,1093.857142857143,1116.5,6142.714285714285,6220.714285714285,3975.8159865330467,3859.843850262238
2022-06-29,12187.68,1425.0,7638.0,1.4300000000000002,8.552757894736843,5341.258741258741,12149.55,1249.0,7793.0,5301.360544217687,10103.511428571428,9807.177857142857,1111.142857142857,1117.642857142857,6154.857142857143,6190.571428571428,4072.80356685396,3906.6447238072974
2022-06-30,11677.55,1376.0,7464.0,1.47,8.486591569767441,5077.551020408163,12187.68,1425.0,7638.0,5341.258741258741,10242.027142857143,9879.095,1112.142857142857,1110.7142857142858,6118.714285714285,6166.785714285715,4113.429755217504,3933.827800135936
2022-07-01,9683.57,1087.0,5798.0,1.6,8.908528058877645,3623.75,11677.55,1376.0,7464.0,5077.551020408163,10313.055714285714,9886.297857142858,1104.5714285714287,1099.4285714285713,6047.142857142857,6079.142857142857,4061.57848939472,3899.225147671441
2022-07-02,6580.68,643.0,3113.0,1.54,10.23433903576983,2021.4285714285716,9683.57,1087.0,5798.0,3623.75,10387.595714285713,9904.98,1095.5714285714287,1093.5,6018.428571428572,6045.071428571428,4030.4698297146315,3896.2401605731534
